(Click me, if I am too big copy and paste me into a spreadsheet or text editor)
		OBJECT NAME	LIGHTMAP INDEX	STATIC	OVERLAPPING SUBMESHES	OUT-OF-BOUNDS UVs	NUM MATS	MATERIAL	WARNINGS
	Standard (986845 verts): 
		977 (188 verts)	-1	False	False	False	1	[Material #26 (UnityEngine.Material)] 	
		908 2 (4195 verts)	-1	False	False	False	1	[Material #28 (UnityEngine.Material)] 	
		723 3 (1898 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		252 (14 verts)	-1	False	False	False	1	[Material #25 (UnityEngine.Material)] 	
		875 2 (25 verts)	-1	False	False	False	1	[Material #28 (UnityEngine.Material)] 	
		1147 2 (46 verts)	-1	False	False	False	1	[Material #31 (UnityEngine.Material)] 	
		502 (136 verts)	-1	False	False	False	1	[Material #26 (UnityEngine.Material)] 	
		862 1 (370 verts)	-1	False	False	False	1	[Material #28 (UnityEngine.Material)] 	
		823 1 (188 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		81 (130 verts)	-1	False	False	False	1	[Material #26 (UnityEngine.Material)] 	
		627 2 (75 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		820 3 (114 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		978 (188 verts)	-1	False	False	False	1	[Material #26 (UnityEngine.Material)] 	
		398 (156 verts)	-1	False	False	False	1	[Material #26 (UnityEngine.Material)] 	
		928 1 (68 verts)	-1	False	False	False	1	[Material #26 (UnityEngine.Material)] 	
		663 2 (34 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		272 (318 verts)	-1	False	False	False	1	[Material #26 (UnityEngine.Material)] 	
		1152 1 (1067 verts)	-1	False	False	False	1	[Material #31 (UnityEngine.Material)] 	
		653 (370 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		844 1 (193 verts)	-1	False	False	False	1	[Material #28 (UnityEngine.Material)] 	
		634 1 (215 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		1165 3 (2086 verts)	-1	False	False	False	1	[Material #31 (UnityEngine.Material)] 	
		995 (188 verts)	-1	False	False	False	1	[Material #26 (UnityEngine.Material)] 	
		657 2 (58 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		688 3 (6 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		727 (6 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
